Amount,Price,Rate,Time
1.0,2928184.03515422,2928184.03515,2022-07-09 14:42:03
1.0,2928340.7765336,2928340.77653,2022-07-09 14:42:03
1.0,2928575.48055219,2928575.48055,2022-07-09 14:42:04
1.0,2928296.74082744,2928296.74083,2022-07-09 14:42:05
1.0,2928331.8545197,2928331.85452,2022-07-09 14:42:06
1.0,2928331.6847711,2928331.68477,2022-07-09 14:42:07
1.0,2928958.23333834,2928958.23334,2022-07-09 14:42:08
1.0,2928855.55572395,2928855.55572,2022-07-09 14:42:09
1.0,2928720.00528545,2928720.00529,2022-07-09 14:42:10
1.0,2928747.6113488,2928747.61135,2022-07-09 14:42:11
1.0,2928689.75729076,2928689.75729,2022-07-09 14:42:12
1.0,2928656.31181928,2928656.31182,2022-07-09 14:42:13
1.0,2928812.25378085,2928812.25378,2022-07-09 14:42:14
1.0,2928993.66415192,2928993.66415,2022-07-09 14:42:15
1.0,2928995.80815192,2928995.80815,2022-07-09 14:42:16
1.0,2928806.78223491,2928806.78223,2022-07-09 14:42:17
1.0,2928802.46128615,2928802.46129,2022-07-09 14:42:18
1.0,2928749.95766306,2928749.95766,2022-07-09 14:42:19
1.0,2928294.1786065,2928294.17861,2022-07-09 14:42:20
1.0,2928592.95333646,2928592.95334,2022-07-09 14:42:21
1.0,2928829.07114676,2928829.07115,2022-07-09 14:42:22
1.0,2927993.58996006,2927993.58996,2022-07-09 14:42:23
1.0,2928182.94288518,2928182.94289,2022-07-09 14:42:24
1.0,2928247.29791193,2928247.29791,2022-07-09 14:42:25
1.0,2928071.13819147,2928071.13819,2022-07-09 14:42:26
1.0,2926496.92387737,2926496.92388,2022-07-09 14:42:27
1.0,2927061.88558729,2927061.88559,2022-07-09 14:42:28
1.0,2927196.03417932,2927196.03418,2022-07-09 14:42:29
1.0,2926953.73603884,2926953.73604,2022-07-09 14:42:30
1.0,2926980.09512999,2926980.09513,2022-07-09 14:42:31
1.0,2927809.13141716,2927809.13142,2022-07-09 14:42:32
1.0,2926949.21527097,2926949.21527,2022-07-09 14:42:33
1.0,2926283.95758084,2926283.95758,2022-07-09 14:42:34
1.0,2926216.74340769,2926216.74341,2022-07-09 14:42:38
1.0,2926216.54340769,2926216.54341,2022-07-09 14:42:38
1.0,2926710.57605303,2926710.57605,2022-07-09 14:42:39
1.0,2925440.90660602,2925440.90661,2022-07-09 14:42:40
1.0,2925786.50985423,2925786.50985,2022-07-09 14:42:41
1.0,2925075.51992198,2925075.51992,2022-07-09 14:42:42
1.0,2925180.66095163,2925180.66095,2022-07-09 14:42:43
